date,well_name,hover_open,pressure_down,temperature_down,chock_size,pressure_top,temprature_top,chocke_pressure,oil,gas,water,water_i,FLOW_KIND
2008-02-07,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-08,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-09,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-10,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-11,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-12,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-13,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-14,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-15,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-16,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-17,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-18,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-19,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-20,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-21,NO 15/9-F-4 AH,,,,,,,,,,,,injection
2008-02-22,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-23,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-24,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-25,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-26,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-27,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-28,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-02-29,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-01,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-02,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-03,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-04,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-05,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-06,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-07,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-08,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
